Periodo,ID,Sector,Campaña,Lider,Fecha Ingreso,FECHA Monitoreo,% NOTA,NOTA,Rango,Estado,Motivo ,Año,Tipo de error ,EA,EG
202307,2366,Adultos Mayores,Adultos,SS,1/10/2022,7/21/2023,90.67%,90.67,5,Activo,Adultos Mayores/Tarjetas,2023,errror actitudinal- corte abrupto ,1,0
202109,5154,Reclamos,BNA+,RB,1/10/2022,9/3/2021,54.95%,54.95,2,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2021,,0,0
202111,5154,Reclamos,BNA+,RB,1/10/2022,11/12/2021,18.34%,18.34,1,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2021,,0,0
202112,5154,Reclamos,BNA+,RB,1/10/2022,12/13/2021,68.75%,68.75,2,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2021,,0,0
202201,5154,Reclamos,BNA+,RB,1/10/2022,1/4/2022,83.09%,83.09,4,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202202,5154,Reclamos,BNA+,RB,1/10/2022,2/4/2022,87.48%,87.48,5,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202203,5154,Reclamos,BNA+,RB,1/10/2022,3/9/2022,81.21%,81.21,4,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202204,5154,Reclamos,BNA+,RB,1/10/2022,4/1/2022,95.63%,95.63,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202204,5154,Reclamos,BNA+,RB,1/10/2022,4/20/2022,82.50%,82.50,4,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202205,5154,Reclamos,BNA+,RB,1/10/2022,5/1/2022,100.00%,100.00,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202205,5154,Reclamos,BNA+,RB,1/10/2022,5/20/2022,45.63%,45.63,1,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202308,5154,Reclamos,BNA+,SS,1/10/2022,8/2/2023,98.00%,98.00,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2023,,0,0
202308,5154,Reclamos,BNA+,SS,1/10/2022,8/14/2023,0.00%,0.00,1,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2023,,0,0
202308,5154,Reclamos,BNA+,SS,1/10/2022,8/23/2023,95.24%,95.24,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2023,,0,0
202309,5154,Reclamos,BNA+,SS,1/10/2022,9/8/2023,100.00%,100.00,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2023,,0,0
202309,5154,Reclamos,BNA+,SS,1/10/2022,9/19/2023,98.00%,98.00,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2023,,0,0
202311,5154,Reclamos,BNA+,SS,1/10/2022,11/2/2023,94.17%,94.17,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2023,,0,0
202207,5154,Reclamos,BNA+,SS,1/10/2022,7/21/2022,85.44%,85.44,5,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202208,5154,Reclamos,BNA+,SS,1/10/2022,8/3/2022,96.50%,96.50,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202209,5154,Reclamos,BNA+,SS,1/10/2022,9/21/2022,85.44%,85.44,5,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202209,5154,Reclamos,BNA+,SS,1/10/2022,9/27/2022,91.25%,91.25,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202210,5154,Reclamos,BNA+,SS,1/10/2022,10/5/2022,85.44%,85.44,5,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202210,5154,Reclamos,BNA+,SS,1/10/2022,10/18/2022,90.67%,90.67,5,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202211,5154,Programa de Beneficios,BNA+,SS,1/10/2022,11/1/2022,57.55%,57.55,2,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202211,5154,Reclamos,BNA+,SS,1/10/2022,11/7/2022,100.00%,100.00,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202211,5154,Programa de Beneficios,BNA+,SS,1/10/2022,11/9/2022,47.50%,47.50,1,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202211,5154,Programa de Beneficios,BNA+,SS,1/10/2022,11/10/2022,55.63%,55.63,2,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202211,5154,Reclamos,BNA+,SS,1/10/2022,11/24/2022,86.88%,86.88,5,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202212,5154,Reclamos,BNA+,SS,1/10/2022,12/1/2022,52.75%,52.75,2,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202212,5154,Reclamos,BNA+,SS,1/10/2022,12/13/2022,100.00%,100.00,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202212,5154,Reclamos,BNA+,SS,1/10/2022,12/21/2022,50.96%,50.96,2,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202212,5154,Reclamos,BNA+,SS,1/10/2022,12/26/2022,91.25%,91.25,6,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2022,,0,0
202301,5154,Reclamos,BNA+,SS,1/10/2022,1/5/2023,47.50%,47.50,1,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2023,,0,0
202301,5154,Reclamos,BNA+,SS,1/10/2022,1/13/2023,70.63%,70.63,3,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2023,,0,0
202302,5154,Reclamos,BNA+,SS,1/10/2022,2/6/2023,88.28%,88.28,5,Activo,BiLLETERA BNA/Reclamos/Social/Turismo social,2023,,0,0
