ID,NOTA,Rango,Año,EA,EG,BT
5154,98.00,6,2023,0,0,0
5154,0.00,1,2023,0,0,0
5154,95.24,6,2023,0,0,0
5154,100.00,6,2023,0,0,0
5154,98.00,6,2023,0,0,0
5154,94.17,6,2023,0,0,0
5154,85.44,5,2022,0,0,0
5154,96.50,6,2022,0,0,0
5154,85.44,5,2022,0,0,0
5154,91.25,6,2022,0,0,0
5154,85.44,5,2022,0,0,0
5154,90.67,5,2022,0,0,0
5154,57.55,2,2022,0,0,0
5154,100.00,6,2022,0,0,0
5154,47.50,1,2022,0,0,0
5154,55.63,2,2022,0,0,0
5154,86.88,5,2022,0,0,0
5154,52.75,2,2022,0,0,0
5154,100.00,6,2022,0,0,0
5154,50.96,2,2022,0,0,0
5154,91.25,6,2022,0,0,0
5154,47.50,1,2023,0,0,0
5154,70.63,3,2023,0,0,0
5154,88.28,5,2023,0,0,0
5154,100.00,6,2023,0,0,0
5154,96.50,6,2023,0,0,0
5154,98.00,6,2023,0,0,0
5154,94.17,6,2023,0,0,0
5154,0.00,1,2023,0,0,0
5154,93.00,6,2023,0,0,0
5154,42.88,1,2023,0,0,0
5154,44.25,1,2023,0,0,0
5154,51.70,2,2023,0,0,0
5154,0.00,1,2023,0,0,0
5154,94.17,6,2023,0,0,0
5154,96.50,6,2023,0,0,0
5154,93.00,6,2023,0,0,0
5075,0.00,1,2023,0,0,0
5075,0.00,1,2023,0,0,0
5075,74.00,3,2023,0,0,0
5075,60.56,2,2023,0,0,0
5075,77.50,3,2023,0,0,0
5075,85.55,5,2023,0,0,0
5075,89.17,5,2023,0,0,0
5075,75.50,3,2023,0,0,0
5075,91.00,6,2023,0,0,0
5075,89.17,5,2023,0,0,0
5075,34.67,1,2023,0,0,0
6563,83.63,4,2023,0,0,0
6563,74.68,3,2023,0,0,0
5075,84.35,4,2023,0,0,0
5075,88.33,5,2023,0,0,0
6563,88.33,5,2023,0,0,0
5075,91.25,6,2023,0,0,0
6563,78.05,3,2023,0,0,0
5075,88.33,5,2023,0,0,0
5075,78.90,3,2023,0,0,0
6563,79.00,3,2023,0,0,0
5075,85.67,5,2023,0,0,0
6563,91.50,6,2023,0,0,0
5075,89.17,5,2023,0,0,0
5075,0.00,1,2023,1,0,0
6597,96.50,6,2022,0,0,0
5077,20.38,1,2021,0,0,0
5075,0.00,1,2021,0,0,0
5077,29.83,1,2021,0,0,0
5075,29.00,1,2021,0,0,0
5077,66.75,2,2021,0,0,0
5077,85.61,5,2021,0,0,0
5075,17.84,1,2022,0,0,0
5077,39.34,1,2022,0,0,0
5077,41.09,1,2022,0,0,0
5075,93.13,6,2022,0,0,0
5077,46.96,1,2022,0,0,0
5075,57.93,2,2022,0,0,0
2326,0.00,1,2022,0,0,0
5075,24.00,1,2022,0,0,0
5077,95.63,6,2022,0,0,0
2326,94.17,6,2022,0,0,0
5077,70.50,3,2022,0,0,0
5075,26.63,1,2022,0,0,0
