ID,Camp,Est,Antigüedad Días,BT,Nota,Sex,Age
6521,5,1,534,0,80.32,1,2
6684,5,1,486,0,82.11,1,1
6610,5,1,506,0,87.11,1,1
6572,5,1,507,0,85.15,0,1
6672,5,1,504,0,64.92,1,1
6732,5,1,457,0,81.16,1,1
6766,5,1,374,0,85.99,1,2
6804,5,1,333,0,77.48,0,1
6805,5,1,333,0,88.48,0,1
6845,5,1,274,0,69.26,1,2
6846,5,1,274,0,74.38,1,1
6847,5,1,274,0,92.97,1,1
8038,5,1,197,0,85.03,1,3
8083,5,1,120,0,80.55,0,1
8074,5,1,120,0,68.94,1,1
4097,5,1,570,0,87.13,1,1
8080,5,1,120,0,87.01,1,3
8076,5,1,120,0,85.68,0,2
8077,5,1,120,0,44.93,1,1
8082,5,1,120,0,70.80,1,1
8091,5,1,115,0,83.19,1,1
8094,5,1,115,0,100.00,1,1
8088,5,1,115,0,51.54,0,1
8103,5,1,115,0,89.10,1,3
8141,5,1,111,0,92.72,1,2
8095,5,1,115,0,86.78,1,3
8100,5,1,115,0,90.81,1,2
8099,5,1,115,0,73.06,1,2
8086,5,1,115,0,59.71,0,1
8150,5,1,92,0,83.32,1,1
8146,5,1,92,0,75.06,0,1
8149,5,1,92,0,84.96,1,1
8144,5,1,92,0,82.86,0,1
8158,5,1,84,0,90.01,1,1
8156,5,1,84,0,94.32,1,1
8155,5,1,84,0,82.73,1,2
8157,5,1,84,0,82.95,0,2
8175,5,1,79,0,67.72,1,1
8164,5,1,79,0,97.09,0,1
8174,5,1,79,0,78.53,0,1
6686,5,1,486,0,74.25,1,2
8173,5,1,79,0,85.70,1,2
8176,5,1,71,0,85.85,1,3
8178,5,1,71,0,72.24,0,1
8181,5,1,71,0,81.35,0,1
8186,5,1,71,0,59.09,1,1
8182,5,1,71,0,82.12,1,1
8183,5,1,71,0,92.15,0,1
8185,5,1,71,0,78.79,1,1
8177,5,1,71,0,71.78,1,3
8243,5,1,66,0,95.28,0,1
8239,5,1,66,0,25.62,0,1
8234,5,1,66,0,92.72,1,1
8222,5,1,64,0,91.78,1,3
8231,5,1,64,0,57.10,1,2
8219,5,1,64,0,88.94,0,1
8233,5,1,64,0,66.77,0,1
8229,5,1,64,0,100.00,0,2
8266,5,1,58,0,22.48,1,1
8267,5,1,58,0,70.44,0,1
8255,5,1,58,0,95.00,1,3
8262,5,1,58,0,36.90,0,1
8258,5,1,58,0,95.28,1,1
8265,5,1,58,0,83.90,1,1
8264,5,1,58,0,69.63,0,1
8256,5,1,58,0,51.67,1,2
8263,5,1,58,0,63.83,1,3
8260,5,1,58,0,70.15,1,1
8253,5,1,58,0,45.68,1,1
8257,5,1,58,0,79.90,1,1
8252,5,1,58,0,86.35,0,2
8259,5,1,58,0,95.28,1,1
8320,5,1,17,1,0.00,0,1
8311,5,1,26,1,87.68,1,1
8322,5,1,15,1,74.10,1,3
8315,5,1,22,1,70.68,0,3
8318,5,1,19,1,73.33,0,3
8319,5,1,18,1,76.90,1,1
8312,5,1,25,1,85.13,1,2
8317,5,1,20,1,48.17,0,1
8309,5,1,28,1,53.63,1,1
8321,5,1,16,1,79.78,1,3
8323,5,1,14,1,13.83,1,3
8308,5,1,29,1,88.33,0,1
8316,5,1,21,1,0.00,0,1
8325,5,1,13,1,63.18,0,1
2224,6,0,69,0,80.95,1,1
5028,6,0,171,0,55.30,1,1
6098,6,1,689,0,0.00,1,2
6097,6,1,689,0,76.13,1,2
5163,7,0,294,0,93.72,1,1
5148,7,1,689,0,85.01,1,1
6498,7,1,535,0,93.56,1,2
2367,7,1,689,0,95.76,1,3
2495,7,1,518,0,85.56,1,1
